#e	M(deg)	M(rad)	E(deg)	E(rad)	delE(rad)	N_iter	theta(deg)	thata(rad)	r
   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000               1   0.00000000       0.00000000       1.00000000    
   0.00000000       45.0000000      0.785398185       45.0000000      0.785398185       0.00000000               1   45.0000000      0.785398185       1.00000000    
   0.00000000       90.0000000       1.57079637       90.0000000       1.57079637       0.00000000               1   90.0000000       1.57079637       1.00000000    
   0.00000000       135.000000       2.35619450       135.000000       2.35619450       0.00000000               1   135.000000       2.35619450       1.00000000    
   0.00000000       180.000000       3.14159274       180.000000       3.14159274       0.00000000               1   180.000015       3.14159298       1.00000000    
   0.00000000       225.000000       3.92699099       225.000000       3.92699099       0.00000000               1   225.000015       3.92699122       1.00000000    
   0.00000000       270.000000       4.71238899       270.000000       4.71238899       0.00000000               1   270.000000       4.71238899       1.00000000    
   0.00000000       315.000000       5.49778748       315.000000       5.49778748       0.00000000               1   315.000000       5.49778748       1.00000000    
  0.150000006       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000               1   0.00000000       0.00000000      0.850000024    
  0.150000006       45.0000000      0.785398185       51.7492332      0.903194547       5.96046448E-08           3   58.8602028       1.02730441      0.907134354    
  0.150000006       90.0000000       1.57079637       98.4999771       1.71914899       2.38418579E-07           3   106.938766       1.86643362       1.02217138    
  0.150000006       135.000000       2.35619450       140.470139       2.45166659       0.00000000               3   145.665390       2.54234076       1.11569393    
  0.150000006       180.000000       3.14159274       180.000000       3.14159274       0.00000000               1   180.000015       3.14159298       1.14999998    
  0.150000006       225.000000       3.92699099       219.529861       3.83151913       2.38418579E-07           3   214.334610       3.74084496       1.11569393    
  0.150000006       270.000000       4.71238899       261.500000       4.56403637       0.00000000               3   253.061234       4.41675186       1.02217138    
  0.150000006       315.000000       5.49778748       308.250763       5.37999105       0.00000000               3   301.139801       5.25588131      0.907134295    
  0.500000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000               1   0.00000000       0.00000000      0.500000000    
  0.500000000       45.0000000      0.785398185       72.2902908       1.26170361       4.17232513E-07           4   103.351784       1.80382895      0.847902775    
  0.500000000       90.0000000       1.57079637       115.793625       2.02098012       1.19209290E-07           4   140.177597       2.44656086       1.21756554    
  0.500000000       135.000000       2.35619450       149.528168       2.60975909       7.39097595E-06           3   162.126694       2.82964468       1.43093932    
  0.500000000       180.000000       3.14159274       180.000000       3.14159274       0.00000000               1   180.000000       3.14159274       1.50000000    
  0.500000000       225.000000       3.92699099       210.471817       3.67342639      -7.15255737E-06           3   197.873306       3.45354080       1.43093932    
  0.500000000       270.000000       4.71238899       244.206375       4.26220560       4.76837158E-07           4   219.822403       3.83662486       1.21756530    
  0.500000000       315.000000       5.49778748       287.709717       5.02148199      -4.76837158E-07           4   256.648224       4.47935677      0.847902656    
  0.850000024       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000               1   0.00000000       0.00000000      0.149999976    
  0.850000024       45.0000000      0.785398185       93.6053848       1.63372219       6.25848770E-06           5   150.061890       2.61907411       1.05345166    
  0.850000024       90.0000000       1.57079637       128.247406       2.23833966       1.19209290E-07           5   164.272079       2.86708879       1.52619982    
  0.850000024       135.000000       2.35619450       155.328598       2.71099567      -2.38418579E-07           4   172.873489       3.01721168       1.77240920    
  0.850000024       180.000000       3.14159274       180.000000       3.14159274       0.00000000               1   180.000000       3.14159274       1.85000002    
  0.850000024       225.000000       3.92699099       204.671371       3.57218957       0.00000000               4   187.126511       3.26597381       1.77240920    
  0.850000024       270.000000       4.71238899       231.752563       4.04484558      -4.76837158E-07           5   195.727905       3.41609669       1.52619982    
  0.850000024       315.000000       5.49778748       266.394592       4.64946318      -6.67572021E-06           5   209.938110       3.66411138       1.05345166    
